t2,y2,t2,y2;
215256.3089999999,-12.078125,215376.28599999996,39.86644071554997;
215256.3714999999,-12.078125,215376.34849999996,19.86644071554997;
215256.4339999999,4.921875,215376.41099999996,29.86644071554997;
215256.4964999999,7.921875,215376.47349999996,17.86644071554997;
215256.5589999999,-15.078125,215376.53599999996,43.86644071554997;
215256.6214999999,24.921875,215376.59849999996,0.8664407155499703;
215256.6839999999,28.921875,215376.66099999996,24.86644071554997;
215256.7464999999,16.921875,215376.72349999996,23.86644071554997;
215256.8089999999,23.921875,215376.78599999996,23.86644071554997;
215256.8714999999,21.921875,215376.84849999996,6.86644071554997;
215256.9339999999,4.921875,215376.91099999996,14.86644071554997;
215256.9964999999,-11.078125,215376.97349999996,3.8664407155499703;
215257.0589999999,17.921875,215377.03599999996,0.8664407155499703;
215257.1214999999,-19.078125,215377.09849999996,8.86644071554997;
215257.1839999999,4.921875,215377.16099999996,-2.1335592844500297;
215257.2464999999,-17.078125,215377.22349999996,20.86644071554997;
215257.3089999999,-26.078125,215377.28599999996,-12.13355928445003;
215257.3714999999,-28.078125,215377.34849999996,21.86644071554997;
215257.4339999999,-7.078125,215377.41099999996,24.86644071554997;
215257.4964999999,-15.078125,215377.47349999996,29.86644071554997;
215257.5589999999,-37.078125,215377.53599999996,10.86644071554997;
215257.6214999999,-33.078125,215377.59849999996,32.86644071554997;
215257.6839999999,-24.078125,215377.66099999996,17.86644071554997;
215257.7464999999,-7.078125,215377.72349999996,34.86644071554997;
215257.8089999999,-2.078125,215377.78599999996,22.86644071554997;
215257.8714999999,-2.078125,215377.84849999996,4.86644071554997;
215257.9339999999,-19.078125,215377.91099999996,6.86644071554997;
215257.9964999999,-5.078125,215377.97349999996,22.86644071554997;
215258.0589999999,8.921875,215378.03599999996,2.8664407155499703;
215258.1214999999,-29.078125,215378.09849999996,3.8664407155499703;
215258.1839999999,-16.078125,215378.16099999996,-8.13355928445003;
215258.2464999999,-15.078125,215378.22349999996,1.8664407155499703;
215258.3089999999,-13.078125,215378.28599999996,-8.13355928445003;
215258.3714999999,0.921875,215378.34849999996,11.86644071554997;
215258.4339999999,-35.078125,215378.41099999996,-3.1335592844500297;
215258.4964999999,-2.078125,215378.47349999996,20.86644071554997;
215258.5589999999,15.921875,215378.53599999996,-3.1335592844500297;
215258.6214999999,10.921875,215378.59849999996,7.86644071554997;
215258.6839999999,-3.078125,215378.66099999996,25.86644071554997;
215258.7464999999,-13.078125,215378.72349999996,-4.13355928445003;
215258.8089999999,-26.078125,215378.78599999996,6.86644071554997;
215258.8714999999,5.921875,215378.84849999996,15.86644071554997;
215258.9339999999,11.921875,215378.91099999996,26.86644071554997;
215258.9964999999,32.921875,215378.97349999996,-10.13355928445003;
215259.0589999999,23.921875,215379.03599999996,3.8664407155499703;
215259.1214999999,-8.078125,215379.09849999996,6.86644071554997;
215259.1839999999,-8.078125,215379.16099999996,10.86644071554997;
215259.2464999999,35.921875,215379.22349999996,17.86644071554997;
215259.3089999999,33.921875,215379.28599999996,12.86644071554997;
215259.3714999999,-1.078125,215379.34849999996,35.86644071554997;
215259.4339999999,14.921875,215379.41099999996,17.86644071554997;
215259.4964999999,-6.078125,215379.47349999996,-1.1335592844500297;
215259.5589999999,-0.078125,215379.53599999996,19.86644071554997;
215259.6214999999,29.921875,215379.59849999996,9.86644071554997;
215259.6839999999,-11.078125,215379.66099999996,-15.13355928445003;
215259.7464999999,-15.078125,215379.72349999996,16.86644071554997;
215259.8089999999,21.921875,215379.78599999996,22.86644071554997;
215259.8714999999,2.921875,215379.84849999996,3.8664407155499703;
215259.9339999999,-9.078125,215379.91099999996,-5.13355928445003;
215259.9964999999,-9.078125,215379.97349999996,25.86644071554997;
215260.0589999999,-20.078125,215380.03599999996,23.86644071554997;
215260.1214999999,-8.078125,215380.09849999996,13.86644071554997;
215260.1839999999,-5.078125,215380.16099999996,42.86644071554997;
215260.2464999999,9.921875,215380.22349999996,4.86644071554997;
215260.3089999999,15.921875,215380.28599999996,0.8664407155499703;
215260.3714999999,1.921875,215380.34849999996,-5.13355928445003;
215260.4339999999,20.921875,215380.41099999996,10.86644071554997;
215260.4964999999,-0.078125,215380.47349999996,7.86644071554997;
215260.5589999999,-31.078125,215380.53599999996,11.86644071554997;
215260.6214999999,48.921875,215380.59849999996,-6.13355928445003;
215260.6839999999,59.921875,215380.66099999996,-14.13355928445003;
215260.7464999999,3.921875,215380.72349999996,4.86644071554997;
215260.8089999999,11.921875,215380.78599999996,-13.13355928445003;
215260.8714999999,27.921875,215380.84849999996,8.86644071554997;
215260.9339999999,0.921875,215380.91099999996,6.86644071554997;
215260.9964999999,13.921875,215380.97349999996,-3.1335592844500297;
215261.0589999999,27.921875,215381.03599999996,-15.13355928445003;
215261.1214999999,13.921875,215381.09849999996,6.86644071554997;
215261.1839999999,27.921875,215381.16099999996,0.8664407155499703;
215261.2464999999,20.921875,215381.22349999996,-3.1335592844500297;
215261.3089999999,9.921875,215381.28599999996,7.86644071554997;
215261.3714999999,6.921875,215381.34849999996,4.86644071554997;
215261.4339999999,17.921875,215381.41099999996,4.86644071554997;
215261.4964999999,10.921875,215381.47349999996,-12.13355928445003;
215261.5589999999,5.921875,215381.53599999996,18.86644071554997;
215261.6214999999,-9.078125,215381.59849999996,1.8664407155499703;
215261.6839999999,-6.078125,215381.66099999996,-15.13355928445003;
215261.7464999999,29.921875,215381.72349999996,23.86644071554997;
215261.8089999999,16.921875,215381.78599999996,23.86644071554997;
215261.8714999999,-21.078125,215381.84849999996,10.86644071554997;
215261.9339999999,14.921875,215381.91099999996,25.86644071554997;
215261.9964999999,-18.078125,215381.97349999996,15.86644071554997;
215262.0589999999,-19.078125,215382.03599999996,-16.13355928445003;
215262.1214999999,13.921875,215382.09849999996,30.86644071554997;
215262.1839999999,-13.078125,215382.16099999996,30.86644071554997;
215262.2464999999,-27.078125,215382.22349999996,4.86644071554997;
215262.3089999999,5.921875,215382.28599999996,15.86644071554997;
215262.3714999999,7.921875,215382.34849999996,24.86644071554997;
215262.4339999999,-18.078125,215382.41099999996,4.86644071554997;
215262.4964999999,0.921875,215382.47349999996,11.86644071554997;
215262.5589999999,12.921875,215382.53599999996,14.86644071554997;
